instance sat family size vbbjdpd tvbbjdpd
si2-r005-m600.00 1 7 600 15299650 100000000
si2-r005-m600.06 1 7 600 942181 100000000
si2-r005-m600.01 1 7 600 3764976 100000000
si2-r005-m600.04 1 7 600 9424421 100000000
si2-r005-m600.09 1 7 600 858182 100000000
si2-r005-m600.05 1 7 600 45575857 100000000
si2-r005-m600.02 1 7 600 10333495 100000000
si2-r005-m600.08 1 7 600 2294902 100000000
si2-r005-m600.07 1 7 600 233818 100000000
si4-r01-m600.05 1 7 600 253588 100000000
si4-r01-m600.02 1 7 600 466397 100000000
si4-r01-m600.03 1 7 600 2279452 100000000
si4-r01-m600.07 1 7 600 4026555 100000000
si4-r01-m600.08 1 7 600 3277425 100000000
si4-r01-m600.06 1 7 600 1176099 100000000
si4-r01-m600.01 1 7 600 12257999 100000000
si4-r01-m600.04 1 7 600 3388915 100000000
si4-r01-m600.00 1 7 600 7790299 100000000
si4-r01-m600.09 1 7 600 1925625 100000000
si2-b09-m400.04 1 3 400 81 100000000
si2-b09-m400.08 1 3 400 81 100000000
si2-b09-m400.05 1 3 400 81 100000000
si2-b09-m400.01 1 3 400 81 100000000
si2-b09-m400.03 1 3 400 81 100000000
si2-b09-m400.02 1 3 400 81 100000000
si2-b09-m400.07 1 3 400 81 100000000
si2-b09-m400.09 1 3 400 81 100000000
si2-b09-m400.06 1 3 400 81 100000000
si2-b09-m400.00 1 3 400 81 100000000
si4-b06-m200.06 1 3 200 81 100000000
si4-b06-m200.03 1 3 200 81 100000000
si4-b06-m200.02 1 3 200 81 100000000
si4-b06-m200.07 1 3 200 81 100000000
si4-b06-m200.05 1 3 200 81 100000000
si4-b06-m200.08 1 3 200 81 100000000
si4-b06-m200.00 1 3 200 81 100000000
si4-b06-m200.04 1 3 200 81 100000000
si4-b06-m200.01 1 3 200 81 100000000
